url,marca,modelo,año,precio,imagen
https://articulo.tucarro.com.co/MCO-1595287419-toyota-grand-higlander-platinum-max-_JM,Toyota,Highlander,2025,390000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1595287419.webp
https://articulo.tucarro.com.co/MCO-1698378729-toyota-rav4-xle-hibrido-2025-_JM,Toyota,RAV4,2025,285900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1698378729.webp
https://articulo.tucarro.com.co/MCO-1657828173-toyota-yaris-hb-xs-15-_JM,Toyota,Yaris,2026,87900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1657828173.webp
https://articulo.tucarro.com.co/MCO-1615192907-toyota-yaris-sport-hatchback-15-gasolina-2025-at-0km-_JM,Toyota,Yaris,2025,98500000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1615192907.webp
https://articulo.tucarro.com.co/MCO-1707782009-toyota-4runner-2020-sr5-blindaje-2-_JM,Toyota,4Runner,2020,199900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1707782009.webp
https://articulo.tucarro.com.co/MCO-1624172591-toyota-lc76-28-diesel-2024-_JM,Toyota,Land Cruiser,2025,600000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1624172591.webp
https://articulo.tucarro.com.co/MCO-2807856060-toyota-land-cruiser-lc71-28-2024-_JM,Toyota,Land Cruiser,2024,460000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/2807856060.webp
https://articulo.tucarro.com.co/MCO-3069739956-toyota-sequoia-35-v6-capstone-_JM,Toyota,Sequoia,2025,570000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3069739956.webp
https://articulo.tucarro.com.co/MCO-1675355791-toyota-sequoia-sr5-2026-_JM,Toyota,Sequoia,2026,465000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1675355791.webp
https://articulo.tucarro.com.co/MCO-1707631793-toyota-prado-vx-2023-40-_JM,Toyota,Prado,2013,305900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1707631793.webp
https://articulo.tucarro.com.co/MCO-1696399433-toyota-hilux-dc-sr-mt-_JM,Toyota,Hilux,2026,215900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1696399433.webp
https://articulo.tucarro.com.co/MCO-1692061007-toyota-hilux-28-srx-diesel-4x4-aut-_JM,Toyota,Hilux,2024,265000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1692061007.webp
https://articulo.tucarro.com.co/MCO-2808087792-kardian-evolution-mt-16-2026-_JM,Renault,Kardian,2025,83990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/2808087792.webp
https://articulo.tucarro.com.co/MCO-1691752709-renault-koleos-25-zen-_JM,Renault,Koleos,2018,70990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1691752709.webp
https://articulo.tucarro.com.co/MCO-3180195004-renault-kwid-00-e-tech-_JM,Renault,Kwid,2024,65500000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3180195004.webp
https://articulo.tucarro.com.co/MCO-3177548980-renault-duster-2-intens-mt-1300cc-t-2022-4x4-_JM,Renault,Duster,2022,81500000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3177548980.webp
https://articulo.tucarro.com.co/MCO-3226243812-renault-duster-zen-2020-_JM,Renault,Duster,2020,58000000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3226243812.webp
https://articulo.tucarro.com.co/MCO-1707723383-renault-duster-oroch-zen-mecanico-4x2-2022-_JM,Renault,Duster Oroch,2022,75800000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1707723383.webp
